MARCHE,CLT AGE,PROFESSION,CLT PUB/PRIV,NATIONALITE,RES,CLT CATEGORIE,PTF,TYPE PTF,SEGMENT,SOUS_SEG,CLT REV MENS NET,MMM,VOLUME DES REVENUS,CREDIT CONSO,CREDIT IMMO,ENC DEBIT,PD,TOT DES CREDITS,CLASSE DE RISQUE,PRIME_ASSURANCE
PART,47,Cadres sup√©rieurs des services administratifs et financiers,PUBLIC,TUNISIA,TUNISIA,7000,4575,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2178,3062.162,0,0,75207.103,-2961.018,0.03,72246.085,0,975.3221475
PART,46,Employ√©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2285,3042.48,10.552,0,87780.872,-2083.122,0.03,85697.75,0,1156.919625
PART,37,Agents de la force publique,PUBLIC,TUNISIA,TUNISIA,7000,4212,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1695,2358.495,154.353,0,74017.743,-2338.361,0.03,71679.382,0,967.671657
PART,56,Ouvriers dans autres secteurs,PRIVE,TUNISIA,TUNISIA,7000,5604,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2000,2169.206,9631.989,0,36914.224,-576.725,0.03,36337.499,0,490.5562365
PART,39,Employ√©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,5604,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1489,1939.903,2703.176,0,46589.551,0,0.03,46589.551,0,628.9589385
PART,45,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2307,3479.218,0,0,79308.458,-1958.386,0.03,77350.072,0,1044.225972
PART,51,Enseignants universitaires,PUBLIC,TUNISIA,TUNISIA,7000,3649,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,3241,5269.535,17736.7,0,101629.391,0,0.03,101629.391,0,1371.996779
PART,46,Enseignants de l'enseignement secondaire,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2115,2413.704,14268.297,0,52425.409,-13.265,0.03,52412.144,0,707.563944
PART,52,Cadres moyens dans les autres services,PRIVE,TUNISIA,TUNISIA,7000,6162,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,585,1181.985,2267.889,0,4177.758,0,0.03,4177.758,0,56.399733
PART,48,Autres cadres sup√©rieurs,PRIVE,TUNISIA,TUNISIA,7000,4595,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,2567,22962.946,9732.557,0,3465.201,0,0.03,3465.201,0,46.7802135
PART,43,Employ√©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1367,3970.126,20418.583,0,53567.86,0,0.03,53567.86,0,723.16611
PART,44,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2084,2025.428,222.733,0,86491.835,-1841.669,0.03,84650.166,0,1142.777241
PART,48,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1786,1689.704,76.787,14442.105,29994.408,-1747.665,0.03,42688.848,0,576.299448
PRO,42,M√©decins g√©n√©ralistes,N_D,TUNISIA,TUNISIA,7000,4024,PRINCIPAL,HAUT DE GAMME,3 PL,5600,8458.242,19372.0053,0,370632.887,-445.343,0.03,370187.544,0,4997.531844
PART,46,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1806,3923.966,5301.594,0,26289.255,0,0.03,26289.255,0,354.9049425
PART,46,Employ√©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,4213,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,1209,1819.333,1104.945,0,87868.48,-1071.725,0.03,86796.755,0,1171.756193
PART,40,Cadres moyens dans les autres services,PRIVE,TUNISIA,TUNISIA,7000,3078,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,1860,9211.355,18.203,0,108825.353,-5482.584,0.03,103342.769,0,1395.127382
PART,45,Employ√©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1112,1526.433,0,0,35575.911,-1515.046,0.03,34060.865,0,459.8216775
PRO,45,Commer√ßants (autres),PRIVE,TUNISIA,TUNISIA,7000,5699,AUX,GRAND PUBLIC,3 GP - PRO,102000,1896.47,1248.426,9965.279,15673.084,-5266.546,0.03,20371.817,0,275.0195295
PART,30,Forces Arm√©es,PUBLIC,TUNISIA,TUNISIA,7000,6164,PRINCIPAL,JEUNES,5 AUTRES JDA,1564,1583.498,15.924,3581.187,57536.549,-1652.938,0.03,59464.798,0,802.774773
PRO,47,"Artisans dans la restauration, l'alimentation et assimil√©s",N_D,TUNISIA,TUNISIA,7000,5760,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,1000,13422.935,2135.718,25061.948,238861.183,0,0.03,263923.131,0,3562.962269
PART,53,Retrait√©s,PRIVE,TUNISIA,TUNISIA,7000,5803,NConq,GRAND PUBLIC,1 GP - ACTIFS,1000,275.907,3965.68,0,29813.304,0,0.03,29813.304,0,402.479604
PRO,66,Commer√ßants (autres),N_D,TUNISIA,TUNISIA,6000,6162,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,10000,5641.967,0,0,40484.85,-4098.684,0.03,36386.166,0,491.213241
PART,39,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1150,1048.8,0,4416.27,33659.564,-798.385,0.03,37277.449,0,503.2455615
PART,59,Cadres moyens dans l'industrie,PRIVE,TUNISIA,TUNISIA,7000,2819,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,4600,12652.084,21230.444,0,10152.035,0,0.03,10152.035,0,137.0524725
PART,37,Techniciens (autres),PUBLIC,TUNISIA,TUNISIA,7000,4206,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1093,749.317,654.648,640.357,35505.65,-3198.667,0.03,32947.34,0,444.78909
PRO,56,Artisans (autres),N_D,TUNISIA,TUNISIA,6000,6162,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,2000,17385.99,10291.614,0,75542.682,0,0.03,75542.682,0,1019.826207
PART,42,Ouvriers dans autres secteurs,PUBLIC,TUNISIA,TUNISIA,7000,6164,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2075,1249.38,17.846,0,56639.866,-80.895,0.03,56558.971,0,763.5461085
PRO,41,Agriculteurs,PRIVE,TUNISIA,TUNISIA,7000,4213,PRINCIPAL,HAUT DE GAMME,5 HG - PRO,33000,15222.759,34872.157,0,16436.733,0,0.03,16436.733,0,221.8958955
PRO,45,Commer√ßants (autres),N_D,TUNISIA,TUNISIA,7000,,AUX,CLASSE MOYENNE,3 CM - PRO,1000,6750.068,11865.204,0,4474.772,0,0.03,4474.772,0,60.409422
PART,62,Retrait√©s,N_D,TUNISIA,TUNISIA,7000,3893,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1718.008,1859.897,2893.776,6113.049,10633.9,-950.806,0.03,15796.143,0,213.2479305
PART,46,Employ√©s de bureau,PRIVE,TUNISIA,TUNISIA,7000,3078,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,2200,3112.712,1087.894,11756.469,48182.849,-3681.847,0.03,56257.471,0,759.4758585
PART,42,Enseignants de l'enseignement secondaire,PUBLIC,TUNISIA,TUNISIA,7000,4194,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2013,2247.57,1633.971,11539.134,27169.491,0,0.03,38708.625,0,522.5664375
