MARCHE,CLT AGE,PROFESSION,CLT PUB/PRIV,NATIONALITE,RES,CLT CATEGORIE,PTF,TYPE PTF,SEGMENT,SOUS_SEG,CLT REV MENS NET,MMM,VOLUME DES REVENUS,CREDIT CONSO,CREDIT IMMO,ENC DEBIT,PD,TOT DES CREDITS,CLASSE DE RISQUE,PRIME_ASSURANCE
TRE,53,Directeurs d'entreprises,PRIVE,TUNISIA,PAKISTAN,7150,4589,PRINCIPAL,TRE,1 TRE - HG,52590,8251.526,11827.601,0,64804.736,0,0.03,64804.736,0,874.863936
PART,44,M√©decins de la fonction publique et assimil√©s,PRIVE,TUNISIA,TUNISIA,7000,4317,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,2239,6355.573,12611.254,44701.717,133782.094,0,0.03,178483.811,0,2409.531449
PART,58,Enseignants de l'enseignement secondaire,PUBLIC,TUNISIA,TUNISIA,7000,5760,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1500,1921.209,55173.095,0,10243.338,0,0.03,10243.338,0,138.285063
PART,40,Autres cadres sup√©rieurs,PRIVE,TUNISIA,TUNISIA,7000,6333,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2309,2901.758,32667.615,3769.667,39740.493,-2564.134,0.03,40946.026,0,552.771351
PART,52,Autres cadres sup√©rieurs,PUBLIC,TUNISIA,TUNISIA,7000,5760,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,4150,3250.142,150.316,19000,15218.19,-2895.483,0.03,31322.707,0,422.8565445
PRO,44,M√©decins sp√©cialistes,N_D,TUNISIA,TUNISIA,7000,2819,PRINCIPAL,HAUT DE GAMME,3 PL,10000,15457.341,0,11831.657,221211.245,-553.894,0.03,232489.008,0,3138.601608
PRO,56,Directeurs d'entreprises,N_D,TUNISIA,TUNISIA,6000,5760,PRINCIPAL,GRAND PUBLIC,3 GP - PRO,2500,1884.051,4074.745,0,40233.135,-5222.313,0.03,35010.822,0,472.646097
PART,55,Ouvriers dans autres secteurs,PRIVE,TUNISIA,TUNISIA,7000,5760,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1788,1815.906,4503.541,14531.367,6082.092,-2293.046,0.03,18320.413,0,247.3255755
PART,38,Agents de la force publique,PUBLIC,TUNISIA,TUNISIA,7000,5760,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1400,1620.288,2850.149,0,71263.481,-2457.282,0.03,68806.199,0,928.8836865
PART,53,Enseignants universitaires,PUBLIC,TUNISIA,TUNISIA,7000,2819,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,1730,5552.182,358,0,50375.349,0,0.03,50375.349,0,680.0672115
PART,43,Coursiers,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1121,663.356,15.495,0,40636.234,-1533.453,0.03,39102.781,0,527.8875435
PRO,46,Ing√©nieurs,PRIVE,TUNISIA,TUNISIA,6000,2819,PRINCIPAL,HAUT DE GAMME,3 PL,2000,1813.186,15780.7008,0,41118.378,0,0.03,41118.378,0,555.098103
PRO,57,Directeurs d'entreprises,N_D,TUNISIA,TUNISIA,6000,4206,PRINCIPAL,HAUT DE GAMME,5 HG - PRO,15000,73207.901,38281.511,33456.818,143451.579,-5922.627,0.03,170985.77,0,2308.307895
PART,53,Employ√©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1724,1087.912,0,2544.715,45757.616,-2259.43,0.03,46042.901,0,621.5791635
PART,55,Autres cadres sup√©rieurs,PRIVE,TUNISIA,TUNISIA,7000,4317,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,3931,18737.422,6422.805,0,73245.338,0,0.03,73245.338,0,988.812063
PRO,23,Artisans du bois et assimil√É¬©s,N_D,TUNISIA,TUNISIA,6000,6162,AUX,GRAND PUBLIC,3 GP - PRO,4774.96,5031.201,1185.543,0,2093.953,11254.23,0.118,2093.953,1,0
PART,66,Chauffeurs de taxis et conducteurs d'automobiles et de camionnettes,PRIVE,TUNISIA,TUNISIA,7000,2819,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,3229.09,4883.778,20237.07,0,77734.371,21967.87,0.3433,77734.371,1,0
PART,73,Cadres sup√É¬©rieurs des services administratifs et financiers,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI√â,5872.99,1809.827,1432.088,0,87619.692,16503.79,0.1738,85570.914,1,0
PART,25,Enseignants universitaires,PUBLIC,TUNISIA,TUNISIA,7000,2819,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,2218.66,5552.182,358,0,50375.349,20251.91,0.4856,50375.349,1,0
PART,64,Autres cadres sup√É¬©rieurs,PRIVE,TUNISIA,TUNISIA,7000,6164,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI√â,5731.55,2068.472,842.674,0,59079.259,45929.34,0.4187,59079.259,1,0
PART,54,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4206,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI√â,3377.9,2127.203,17.678,0,78971.986,16605.72,0.2695,78543.497,1,0
PART,66,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,5760,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI√â,4895.01,2835.078,12464.338,0,3484.554,46038.06,0.497,3484.554,1,0
PART,63,Hauts fonctionnaires de l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4024,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,5569.75,1468.25,0,1055.471,2015.729,4817.03,0.0598,665.848,1,0
PART,70,Directeurs d'entreprises,PRIVE,TUNISIA,TUNISIA,7000,4445,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,3927.7,61981.03,19762.915,0,141866.921,40375.32,0.5216,140238.947,1,0
PART,66,Cadres moyens dans les autres services,PRIVE,TUNISIA,TUNISIA,7000,5604,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI√â,1746.65,1788.409,0,9384.354,15863.945,788.58,0.0549,25223.136,1,0
PART,49,Enseignants de l'enseignement secondaire,PUBLIC,TUNISIA,TUNISIA,7000,4445,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1400,3015.426,4308.213,0,25335.091,0,0.03,25335.091,0,342.0237285
PART,54,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1349,1184.865,238.228,12014.885,14213.548,-819.324,0.03,25409.109,0,343.0229715
PART,47,Employ√©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1377,1876.088,269.817,0,45325.14,0,0.03,45325.14,0,611.88939
PART,56,Employ√©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1063,956.036,540.463,0,24629.456,0,0.03,24629.456,0,332.497656
PART,51,Employ√©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1067,718.605,0,0,37779.209,-2949.153,0.03,34830.056,0,470.205756
PART,46,M√©decins de la fonction publique et assimil√©s,PUBLIC,TUNISIA,TUNISIA,7000,2819,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,1705,1776.632,1082.177,0,65850.742,0,0.03,65850.742,0,888.985017
PART,34,Agents de la force publique,PUBLIC,TUNISIA,TUNISIA,7000,5699,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1151,1766.052,75.881,0,61634.551,-398.468,0.03,61236.083,0,826.6871205
PART,45,Agents de la force publique,PUBLIC,TUNISIA,TUNISIA,7000,4213,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,2092,2635.874,73.434,7583.459,78347.832,-1911.506,0.03,84019.785,0,1134.267098
PART,53,Techniciens (autres),PRIVE,TUNISIA,TUNISIA,7000,4024,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,8700,7649.346,41299.192,44922.779,48708.973,0,0.03,93631.752,0,1264.028652
PART,60,Ouvriers agricoles,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1064,1124.489,1125.107,0,24310.826,0,0.03,24310.826,0,328.196151
PART,41,Enseignants de l'enseignement secondaire,PUBLIC,TUNISIA,TUNISIA,7000,5699,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1559,1722.836,12.934,7687.093,51292.452,-1287.082,0.03,57692.463,0,778.8482505
PART,54,Autres cadres sup√©rieurs,PUBLIC,TUNISIA,TUNISIA,7000,5604,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2500,3098.715,9.78,7171.798,76213.898,-1416.007,0.03,81969.689,0,1106.590802
PART,41,Ouvriers dans l'industrie,PRIVE,TUNISIA,TUNISIA,7000,4445,AUX,GRAND PUBLIC,1 GP - ACTIFS,1190,824.175,0,0,39723.739,-1026.838,0.03,38696.901,0,522.4081635
PART,42,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1247,808.566,15.016,0,59744.18,-2752.828,0.03,56991.352,0,769.383252
PART,43,Ouvriers dans autres secteurs,PRIVE,TUNISIA,TUNISIA,7000,3893,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1000,2204.67,757.902,0,10463.659,0,0.03,10463.659,0,141.2593965
PART,43,Techniciens (autres),PRIVE,TUNISIA,TUNISIA,7000,6333,AUX,GRAND PUBLIC,1 GP - ACTIFS,887,569.712,817.538,759.809,23758.827,-3849.015,0.03,20669.621,0,279.0398835
PART,45,Ouvriers dans l'industrie,PRIVE,TUNISIA,TUNISIA,7000,4194,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1240,1131.398,3242.572,0,47147.922,0,0.03,47147.922,0,636.496947
PART,50,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1992,2000.472,10.502,8137.198,54124.901,-102.277,0.03,62159.822,0,839.157597
PART,54,Cadres sup√©rieurs des services administratifs et financiers,PUBLIC,TUNISIA,TUNISIA,7000,4445,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2900,3790.857,0,16935.883,36183.767,-1352.977,0.03,51766.673,0,698.8500855
PART,41,Techniciens en batiment et travaux publics,PRIVE,TUNISIA,TUNISIA,7000,4212,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2654,4559.365,10.903,0,113569.05,-2743.67,0.03,110825.38,0,1496.14263
PART,57,Agents de la force publique,PUBLIC,TUNISIA,TUNISIA,7000,6149,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1872,1618.198,603.73,13440.625,20916.7,-816.281,0.03,33541.044,0,452.804094
PART,47,Cadres moyens dans l'administration publique,PRIVE,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1500,1843.974,0,0,8259.337,-574.863,0.03,7684.474,0,103.740399
PRO,71,M√É¬©decins sp√É¬©cialistes,N_D,TUNISIA,TUNISIA,6000,4444,PRINCIPAL,HAUT DE GAMME,5 HG - PRO,4499.51,18180.804,430400.4231,99127.987,133415.055,12188.24,0.1425,232543.042,1,0
PART,25,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,5760,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI√â,1614.48,2835.078,12464.338,0,3484.554,31973.02,0.95,3484.554,1,0
PART,42,Enseignants de l'enseignement secondaire,PUBLIC,TUNISIA,TUNISIA,7000,4194,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI√â,1209.93,2247.57,1633.971,11539.134,27169.491,35009.54,0.95,38708.625,1,0
PART,49,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,6333,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1919,2035.549,468.57,0,158494.048,0,0.03,158494.048,0,2139.669648
PART,40,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1381,1299.2,6686.968,15000,15726.442,0,0.03,30726.442,0,414.806967
PART,40,Employ√©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1726,1639.827,1357.344,7000,28828.098,0,0.03,35828.098,0,483.679323
PART,55,Enseignants de l'enseignement primaire,PUBLIC,TUNISIA,TUNISIA,7000,4445,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1587,1902.731,19.012,0,55163.904,-1013.832,0.03,54150.072,0,731.025972
PART,43,Cadres moyens dans l'industrie,PRIVE,TUNISIA,TUNISIA,7000,4217,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,3314,4182.904,-0.0002,0,104731.839,-3812.109,0.03,100919.73,0,1362.416355
PART,51,Cadres moyens des services administratifs et financiers,PRIVE,TUNISIA,TUNISIA,7000,3893,AUX,GRAND PUBLIC,1 GP - ACTIFS,550,1083.23,6895.066,0,14394.443,-641.656,0.03,13752.787,0,185.6626245
PART,54,Employ√©s de bureau,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,1080,1350.613,993.584,1052.502,14911.525,0,0.03,15964.027,0,215.5143645
PART,35,Agents de la force publique,PUBLIC,TUNISIA,TUNISIA,7000,4206,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1635,2621.395,0,1868.234,34935.985,-1814.543,0.03,34989.676,0,472.360626
PART,54,Retrait√©s,PUBLIC,TUNISIA,TUNISIA,7000,6333,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,943,3142.582,2525.624,0,38191.101,0,0.03,38191.101,0,515.5798635
PART,39,Agents de la force publique,PUBLIC,TUNISIA,TUNISIA,7000,4212,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2117,2149.012,0,0,84773.016,-2061.052,0.03,82711.964,0,1116.611514
PART,56,Employ√©s de bureau,PRIVE,TUNISIA,TUNISIA,7000,3649,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,9000,3846.193,6319.312,0,36514.12,0,0.03,36514.12,0,492.94062
PART,53,Agents de la force publique,PUBLIC,TUNISIA,TUNISIA,7000,4217,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2334,2638.289,3766.958,0,59515.188,0,0.03,59515.188,0,803.455038
PRO,56,M√©decins sp√©cialistes,N_D,TUNISIA,TUNISIA,6000,3639,PRINCIPAL,HAUT DE GAMME,3 PL,5467,17813.456,4310.775,187112.983,107161.794,0,0.03,294274.777,0,3972.70949
PART,44,Ouvriers dans l'industrie,PRIVE,TUNISIA,TUNISIA,7000,4194,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1571,1664.916,2096.977,7705.307,45498.791,0,0.03,53204.098,0,718.255323
PART,39,Ouvriers dans l'industrie,PRIVE,TUNISIA,TUNISIA,7000,4445,AUX,GRAND PUBLIC,1 GP - ACTIFS,1382,516.346,0,0,33617.094,-597.582,0.03,33019.512,0,445.763412
PART,53,Enseignants de l'enseignement primaire,PUBLIC,TUNISIA,TUNISIA,7000,4445,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1052,1773.001,17909.233,0,28307.448,0,0.03,28307.448,0,382.150548
PART,63,Magistrats,PUBLIC,TUNISIA,TUNISIA,7000,4595,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,4700,6157.758,337.863,26555.309,59253.303,-16272.054,0.03,69536.558,0,938.743533
PART,59,Agents de la force publique,PUBLIC,TUNISIA,TUNISIA,7000,4445,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2099,2284.843,17.703,8344.508,44472.371,-332.779,0.03,52484.1,0,708.53535
PART,50,Ouvriers dans autres secteurs,PRIVE,TUNISIA,TUNISIA,7000,4194,AUX,GRAND PUBLIC,1 GP - ACTIFS,650,1425.824,2532.88,0,7854.258,0,0.03,7854.258,0,106.032483
PRO,46,M√©decins sp√©cialistes,PRIVE,TUNISIA,TUNISIA,6000,4317,PRINCIPAL,HAUT DE GAMME,3 PL,0,7170.641,85679.388,0,230862.988,-249.245,0.03,230613.743,0,3113.285531
PART,36,"Agents d'accueil, de s√©curit√© et de nettoyage",PUBLIC,TUNISIA,TUNISIA,7000,4194,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1063,1047.534,0,0,47530.5,-1124.092,0.03,46406.408,0,626.486508
PART,55,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,3893,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1014,2042.756,605.715,0,22077.254,0,0.03,22077.254,0,298.042929
PART,39,Agents de la force publique,PUBLIC,TUNISIA,TUNISIA,7000,4584,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1054,1846.282,344.274,0,27103.311,0,0.03,27103.311,0,365.8946985
PART,52,Cadres sup√©rieurs des services administratifs et financiers,PUBLIC,TUNISIA,TUNISIA,7000,5700,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,4608,4849.917,3865.094,41743.687,35734.567,-1209.115,0.03,76269.139,0,1029.633377
PART,58,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4035,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1450,1841.042,2911.425,0,15751.351,-816.436,0.03,14934.915,0,201.6213525
PART,45,Cadres moyens des services administratifs et financiers,PUBLIC,TUNISIA,TUNISIA,7000,2819,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,,5029.515,879.583,0,125847.435,-1601.248,0.03,124246.187,0,1677.323525
PART,40,Ouvriers dans autres secteurs,PRIVE,TUNISIA,TUNISIA,7000,4194,AUX,GRAND PUBLIC,1 GP - ACTIFS,905,695.182,0,2024.815,30427.763,-1431.902,0.03,31020.676,0,418.779126
PART,32,Dirigeants et g√©rants dans les services,PRIVE,TUNISIA,TUNISIA,7000,3353,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,10000,5798.901,5357.679,10058.792,131425.856,-10207.902,0.03,131276.746,0,1772.236071
PART,33,Directeurs d'entreprises,PRIVE,TUNISIA,TUNISIA,7000,4444,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,2375,13433.929,25912.159,2567.813,302478.909,-6338.537,0.03,298708.185,0,4032.560498
PART,61,Retrait√©s,PUBLIC,TUNISIA,TUNISIA,7000,4323,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,870,11379.667,5095.846,57157.834,41542.712,-171.389,0.03,98529.157,0,1330.14362
PRO,49,Directeurs d'entreprises,PRIVE,TUNISIA,TUNISIA,6000,2819,PRINCIPAL,HAUT DE GAMME,5 HG - PRO,20000,43856.934,14052.203,0,700624.721,-16761.649,0.03,683863.072,0,9232.151472
PART,45,Employ√©s de bureau,PRIVE,TUNISIA,TUNISIA,7000,6162,AUX,GRAND PUBLIC,1 GP - ACTIFS,500,354.395,309.992,0,15450.754,0,0.03,15450.754,0,208.585179
PART,36,Agents de la force publique,PUBLIC,TUNISIA,TUNISIA,7000,5760,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1605,1879.255,3312.389,4057.446,57134.494,-2701.962,0.03,58489.978,0,789.614703
PART,58,Dirigeants et g√©rants dans les services,PRIVE,TUNISIA,TUNISIA,7000,4444,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,1000,4574.175,3596.4606,0,159016.179,-10111.008,0.03,148905.171,0,2010.219809
PART,53,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4445,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,,1182.824,0,5066.741,19377.05,-1138.873,0.03,23304.918,0,314.616393
PART,45,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,4584,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1380,1267.531,76.184,6450.314,23872.529,0,0.03,30322.843,0,409.3583805
PRO,42,Commer√ßants (autres),PRIVE,TUNISIA,TUNISIA,7000,5803,PRINCIPAL,HAUT DE GAMME,5 HG - PRO,10000,9034.326,0,24001.124,72461.946,-24389.704,0.03,72073.366,0,972.990441
PART,51,Enseignants de l'enseignement primaire,PUBLIC,TUNISIA,TUNISIA,7000,4445,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1748,2222.171,513.218,0,69725.446,0,0.03,69725.446,0,941.293521
PART,37,Techniciens (autres),PRIVE,TUNISIA,TUNISIA,7000,4444,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,3608,7206.43,2147.245,0,65270.323,0,0.03,65270.323,0,881.1493605
PART,54,Agents de la force publique,PUBLIC,TUNISIA,TUNISIA,7000,3893,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1000,2439.036,264.405,0,41597.692,0,0.03,41597.692,0,561.568842
PART,49,Enseignants de l'enseignement secondaire,PUBLIC,TUNISIA,TUNISIA,7000,6162,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1558,2059.05,612.736,0,58165.242,0,0.03,58165.242,0,785.230767
PRO,55,Artisans du cuir et de la chaussure,PRIVE,TUNISIA,TUNISIA,7000,6164,AUX,GRAND PUBLIC,3 GP - PRO,1000,1889.93,0,12066.944,25803.308,-3061.723,0.03,34808.529,0,469.9151415
PART,34,Enseignants de l'enseignement secondaire,PUBLIC,TUNISIA,TUNISIA,7000,5760,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1580,1746.641,2788.913,10392.769,75507.587,-55.73,0.03,85844.626,0,1158.902451
PRO,28,Directeurs d'entreprises,N_D,TUNISIA,TUNISIA,6000,4194,PRINCIPAL,JEUNES,5 AUTRES JDA,,12452.909,6452.773,0,176609.89,-475.238,0.03,176134.652,0,2377.817802
PART,29,Forces Arm√©es,PUBLIC,TUNISIA,TUNISIA,7000,4217,PRINCIPAL,JEUNES,5 AUTRES JDA,1389,831.888,684.307,0,48429.67,-7226.173,0.03,41203.497,0,556.2472095
PART,46,Dirigeants et g√©rants dans les services,PRIVE,TUNISIA,TUNISIA,7000,3078,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,30000,38390.109,755.432,0,50329.61,-11305.298,0.03,39024.312,0,526.828212
PART,39,Autres cadres sup√©rieurs,PRIVE,TUNISIA,TUNISIA,7000,3893,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,3097,3205.158,3716.601,23087.024,11351.388,-264.667,0.03,34173.745,0,461.3455575
PRO,38,M√©decins sp√©cialistes,N_D,TUNISIA,TUNISIA,6000,4444,PRINCIPAL,HAUT DE GAMME,5 HG - PRO,5000,18180.804,430400.4231,99127.987,133415.055,0,0.03,232543.042,0,3139.331067
PART,61,Dirigeants et g√©rants dans les services,PRIVE,TUNISIA,TUNISIA,7000,3078,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,2500,9082.398,756.383,5788.581,47066.942,-3006.928,0.03,49848.595,0,672.9560325
PRO,47,M√©caniciens,PUBLIC,TUNISIA,TUNISIA,6000,5760,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,700,1137.842,60.627,0,28469.333,0,0.03,28469.333,0,384.3359955
PART,44,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,6164,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1035,1181.733,0,2993.664,26025.932,-1330.764,0.03,27688.832,0,373.799232
PART,53,Chefs de mission diplomatique et assimil√©s,PUBLIC,TUNISIA,TUNISIA,7000,4595,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,2888,4903.788,816.39,0,29212.905,0,0.03,29212.905,0,394.3742175
PRO,41,Professions para-m√©dicales,N_D,TUNISIA,TUNISIA,6000,3078,PRINCIPAL,HAUT DE GAMME,3 PL,5000,4112.637,9409.036,0,218171.65,-25775.767,0.03,192395.883,0,2597.344421
PART,45,Cadres moyens dans les autres services,PRIVE,TUNISIA,TUNISIA,7000,5760,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1760,3573.836,4969.611,0,71779.52,0,0.03,71779.52,0,969.02352
TRE,41,Techniciens (autres),PRIVE,TUNISIA,LIBYAN ARAB JAMAHIRIYA,7150,3859,PRINCIPAL,TRE,1 TRE - HG,10000,16153.20057,8217.11596,45613.434,106470.277,-3677.139,0.03,148406.572,0,2003.488722
PRO,59,Commer√ßants (autres),PRIVE,TUNISIA,TUNISIA,7000,3893,AUX,GRAND PUBLIC,3 GP - PRO,3136,5239.205,8525.079,0,72453.261,0,0.03,72453.261,0,978.1190235
PRO,39,Dirigeants et g√©rants dans l'agriculture et la p√™che,PRIVE,TUNISIA,TUNISIA,6000,5686,PRINCIPAL,HAUT DE GAMME,5 HG - PRO,9083,87681.306,15353.891,68157.034,119977.905,-8398.357,0.03,179736.582,0,2426.443857
PART,42,Cadres sup√©rieurs des services administratifs et financiers,PUBLIC,TUNISIA,TUNISIA,7000,4045,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,2819,1809.827,1432.088,0,87619.692,-2048.778,0.03,85570.914,0,1155.207339
PART,42,Directeurs d'entreprises,PRIVE,TUNISIA,TUNISIA,7000,2819,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,1000,3442.443,2244.856,18328.901,22390.508,-1376.511,0.03,39342.898,0,531.129123
PART,49,Autres cadres sup√©rieurs,PUBLIC,TUNISIA,TUNISIA,7000,4323,NConq,HAUT DE GAMME,4 AFFLUENT,2481,3561.471,4236.094,10243.545,18728.843,-32.22,0.03,28940.168,0,390.692268
PRO,63,Commer√ßants (autres),PRIVE,TUNISIA,TUNISIA,7000,4445,PRINCIPAL,CLASSE MOYENNE,3 CM - PRO,4000,35516.13,0,85860.469,41657.903,-5615,0.03,121903.372,0,1645.695522
PART,35,Ing√©nieurs,PRIVE,TUNISIA,TUNISIA,7000,3078,PRINCIPAL,HAUT DE GAMME,4 AFFLUENT,5000,3764.613,0,0,51171.336,-919.788,0.03,50251.548,0,678.395898
PART,34,Agents de la force publique,PUBLIC,TUNISIA,TUNISIA,7000,5699,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,1381,1766.608,10.724,0,64783.167,-1795.437,0.03,62987.73,0,850.334355
PRO,41,"Commer√ßants dans le tourisme, loisirs et restauration",N_D,TUNISIA,TUNISIA,7000,4194,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,5000,1773.26,731.39,0,59220.67,-3663.205,0.03,55557.465,0,750.0257775
PART,45,Cadres moyens dans l'administration publique,PUBLIC,TUNISIA,TUNISIA,7000,3893,PRINCIPAL,CLASSE MOYENNE,1 CM - SALARI…,795,1183.793,579.769,0,8925.997,0,0.03,8925.997,0,120.5009595
PART,53,Dirigeants et g√©rants dans l'industrie,PRIVE,TUNISIA,TUNISIA,7000,3078,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,2000,21397.118,20902.57,6759.043,11903.296,-4362.71,0.03,14299.629,0,193.0449915
PART,50,Directeurs d'entreprises,PUBLIC,TUNISIA,TUNISIA,7000,2819,PRINCIPAL,HAUT DE GAMME,2 PATRIMONIAUX,,25795.853,34611.076,84489.779,71214.696,0,0.03,155704.475,0,2102.010413
